Score	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49
WCMC90_2_C	-74.3749356698219	-77.332556518447	-29.7609161824772	6.80851460132299	-77.4420142110178	82.2742954620763	-1.0658047922645	15.9034913944825	-40.0901500253162	35.0117797625257	-13.1296584784735	26.549213723907	-25.0679718759586	48.5944099142808	-21.2800286829835	-8.37810410959587	-17.4940966078547	39.7356396269175	28.7594868807374	-2.15552740106128	-7.54712105369635	-23.697961078709	21.7381640507224	17.1322968411591	14.587384172433	12.0019661707572	6.72996497246732	-6.67386114007289	-6.93683062204137	-2.95289222943692	-11.6917421823102	-11.9197516235832	4.81531979432686	5.88926902560102	7.65565400392254	18.822422451346	9.7917215615859	12.8737646303574	15.5965175363741	-61.6550122740983	-27.6243130703493	-7.21928539176889	4.91458720298565	11.8434707010227	-7.81583898686068	-1.60458727255511	0.600320833530721	-0.76104573864278	3.52999093578823e-13
WCMC0_5_N	-41.7910196475941	173.164045931078	60.8520841903362	23.7555686875251	-3.53796025889224	26.5767657387009	-12.8551696678623	-35.8167790631687	18.277284727868	-4.37923124213205	2.10248100014814	4.64373866575286	-1.68223504246607	-9.65144478663217	-5.09469836016543	0.907847657320537	-8.70902945454778	-0.553437902273029	-5.29314721381787	9.41113747688601	-9.69440894251898	1.92251425951355	-10.3379372176958	-5.03084922119106	7.62184504148665	-2.59540943104072	-4.64136396381327	-17.1829464066112	-6.90626230568716	-13.1699528261861	19.4177979855974	-15.5732862649658	1.60285568525288	-22.8951203350141	-22.3221713714694	42.8724769245303	14.1182113243441	-20.1539260129139	17.0152321274875	7.17381658189741	7.31679681081206	-2.84229988453149	8.21524216308566	10.7114023981478	3.3441766649602	7.5529611309318	0.267632557279089	-32.4272634835009	-1.78037865347777e-13
WCMC210_1_N	-104.509952053008	80.0516611351977	43.0350672388718	-46.7361169657094	80.4799217615005	-29.747261561011	54.3847539060265	59.6804347480168	-57.5966313176479	3.55793922695292	-59.2445618117001	-30.5430021263668	2.30254355105396	-67.4563649635924	-87.8667702542907	41.0080077133769	29.9035843529608	59.1304701569151	-1.09963759208086	-17.5235828798678	30.1412592163686	-2.39103998940153	-2.16228163514138	-10.3576113709491	-4.54318713778347	-11.765951521291	16.9309041758916	-8.8776925457581	-6.89471544697484	-0.712876203572295	0.940589227651051	5.53875174166936	-2.26058882510086	-0.626576356352882	1.06773514014302	1.28652262401023	-3.45213214769679	0.552756325909807	-0.56719320091512	-4.06619841985151	-2.55027816906108	2.53966815132052	2.74465941012859	-2.37555992133055	-0.351663145850604	1.27815447817752	-0.0797928026273996	0.551861706291266	-1.6269099376064e-13
WCMC90_4_C	-74.5280114412093	-50.8736945475547	-50.3797361777592	-12.6546550002741	-29.2736456482136	115.832995489492	45.3821366395721	4.92513757645719	-11.3602096721389	16.1944813824485	-7.62919903013951	16.5916766276785	-9.75519159138146	52.3778063942556	-21.3483968389694	-4.08874207193811	-10.9665675956824	38.5417206798356	25.4985069225734	-13.8126819359353	-20.1533220305223	-12.8564052530669	26.5824837970928	23.6798373876677	17.0900711198528	-12.5675638953371	6.42118078177149	-12.557494471004	-14.5087955412522	3.4392619876415	4.97267297467036	13.384130347698	-3.21617308133005	-12.1511853888102	-7.0278246060116	-19.6428638479497	-1.18457747313752	-10.5295317065745	-7.0147520215504	53.2140473074232	40.9169669332278	13.2610549179416	-4.30295675895048	-10.254208869334	4.37088114497082	-0.806429655372417	-0.893228938818148	0.45318299765044	-2.19230588679531e-13
WCMC172_1_C	118.786796223382	-111.612484600998	115.219418930126	-1.34031730773717	5.0647399216467	15.8301070823826	-23.1960477114888	-22.7997143164469	31.3710704197009	-8.16705726995044	-35.4624675204448	15.897398983721	-22.8578301512325	23.6897957839063	27.0915865307193	42.9429448849583	15.3452507991	15.5227541063037	1.12264611217358	-40.2045224663855	12.0172756755378	-3.86442141946445	-48.967476844167	15.6331224905872	6.20243688348605	25.271023115068	15.2355584637713	26.4780826838953	8.41942445520659	-6.66675641787357	15.3179839369945	-0.104370463872142	-54.687313502633	-26.9144916687856	2.04093782391376	-0.304259727052134	-30.6879791504655	3.34028924175941	4.31147883991716	-10.1292961719276	7.5401235515927	14.9376536811708	16.34935127055	-0.911630960571412	0.656020951355848	-2.60807399286613	-0.808900693197126	-0.098425860329425	7.70415327399406e-13
WCMC159_5_C	-51.4134522845625	-28.0673173657499	-89.7074389060367	-37.9271501220399	47.3953995342465	9.03220076197119	-114.303334256547	-3.09409084547421	-20.3259507113669	-20.9378102069975	-28.6131436419374	-2.67138897683266	3.14903309660473	6.20074436434374	-5.99882571414708	-6.75258242995505	-6.65625135320016	-10.5029983370741	-12.4109366371213	2.64180528327784	6.36100090980009	12.8002670304396	-2.60294262382298	3.47461331168596	12.3146868073306	-5.5811176054187	1.09352647073626	-1.85493541305194	-4.56894389315058	10.7223588300232	14.9246515959545	-4.98671102797391	3.3074041811655	-21.7572423533658	3.27631314829341	-19.045181104166	25.9157234255823	10.4913480229503	-16.1841845931761	-14.9449176076571	-2.60157900408274	3.75634129321312	4.65428243104959	0.968652894952675	64.282913935801	-2.05357499814655	-1.20093363101253	-0.149577780187598	-2.5107428749992e-13
WCMC252_1_N	-0.612899534445913	112.214196181598	16.6478649101469	125.303020858076	10.1481770553653	-22.1046822645689	7.76189425425274	52.8303179280971	-1.07697055279965	-4.62490416400046	-20.72489948139	-16.985721736871	21.9062775772638	25.4607099771997	-14.4856083862528	40.6748767758664	-1.84296315973937	18.6924250663045	-62.2942634103439	58.1973165480415	-65.9249747939725	-13.8559397102933	-3.78782085760153	44.9173210622249	1.04862007432747	29.8500174111126	-17.9275921771097	20.0811626819935	20.3974245194761	13.5132841534518	-3.4334863867198	-1.37122500087527	0.682581302919268	3.41787526956586	2.59907378591575	-8.6853127648932	-1.57756437441041	5.41057959301121	-10.2007944216691	-2.14041022329595	4.4989284506759	-3.88914181668785	0.285919288926729	-1.80427932218244	-0.140230065706881	0.563536297442979	-0.528972639966883	0.698764609997308	1.66572552734619e-13
WCMC163_1_N	-29.8075833773883	-5.64726027532028	-25.682009875028	195.453079327911	76.2349181486357	-53.8623541906667	-12.4565206504511	-6.87340697591034	-12.5363218937731	28.374696155722	-4.20769945830524	38.1427439298066	-21.5392117129917	-6.74369404733137	-11.3723927393575	-25.6019315163535	-8.4742700177058	-5.88512433496488	19.1340521174705	-32.8650948984379	30.8168422349397	17.1361872433557	16.514822723646	17.5195520852337	3.52128125314222	7.33738505362478	2.34667385515922	19.5117558846412	-3.20271104672587	18.4483892961818	-20.8978419579388	-63.6461303312558	11.1012240560188	-3.4888837774278	16.6318554460589	-4.13456182669169	-17.3008193918662	-21.2967235115784	-0.053409680476586	13.5562980605015	0.0722454868124245	-3.20151505066505	-3.03593566169063	-1.13681638983874	0.71989545319735	-0.989048471421139	1.04766842068144	-0.635219726316236	6.75302963369781e-14
WCMC9_1_C	146.452294755463	-49.9847871694898	1.24053227449207	-22.1605176011393	21.6572083267503	44.9877998253272	18.4538673296405	32.3661179882323	84.9523441934091	-46.3228665713338	8.18396846209399	46.7003806062291	-16.2656977776835	14.3090203101327	-53.1628356351785	-82.6704355474278	74.4699655525346	13.3861364947314	-36.1838787066916	12.2212514191232	1.76648396075899	-7.32885341203571	-3.2573939939571	-20.7032042109698	-26.2956076431383	17.8536062060886	1.46259655883285	-7.33827741416366	-2.00598621127376	5.60819866117711	2.4865970095605	-16.552002472721	-11.9322230818987	10.8977857539391	-0.146516739244536	1.14322171705568	15.1168335330375	0.682674578378332	-7.69174118067852	-0.671664022978123	-0.433549022724042	-6.27949029640389	-0.484330180063112	-7.03389047442795	-1.18200199520355	-1.08377764013747	-0.352149865731759	-0.589448014369149	2.8493348088951e-14
WCMC4240_1_N	26.5207473957616	86.8712615568013	-9.06265770774738	-4.03442501949348	-66.8362253273033	34.754115283275	-19.7876498111586	155.795835469052	65.9630621839767	66.4874570700711	-12.3028279247927	22.5701500661698	17.8676886737238	-2.45539645562936	-13.0738538707434	24.8216911356627	-15.621959496679	-82.2522682324905	-8.67489327817363	-19.3719813752092	18.3020494230149	-33.5125652675683	-5.62374075132771	-17.0306844717505	6.19109271551246	-14.8128301674812	8.49714771006698	3.89790205115348	-8.76221758168483	-9.4611523599838	-12.3417917340482	2.62835127348838	1.00113934128604	-1.83752948169686	-1.61521609301015	-2.90168547758428	-8.25103863799243	-5.93811470127201	-4.63789179416765	0.135813688041957	0.720029574218108	0.839739921446069	1.24508446309403	-0.137126948417226	3.20430275751178	0.588823948116571	0.883700749070507	-0.57681912793762	-2.25137887933241e-13
